Year,NTDID,Agency,Mode,TOS,City,State,UZA Number,UZA Name,Reporter Type,Directional Route Miles,Transit Way Miles,Unlinked Passenger Trips,Passenger Miles Traveled,Vehicle & Pass. Car Revenue Miles,Train Revenue Miles,Vehicle Revenue Hours,Vehicle Operated in Maximum Service,    with Motor Vehicle,    with Person,    with Fixed Object,    with Rail Vehicle,    with Bus Vehicle,    with Other,    Collision Total,    Derailment Total,    Fire Total,Security Total,    NOC Total,    Event Total,    Passenger,People waiting or leaving,    Operator,    Employee,    Total Employee,    Other Worker,    Bicyclist,    Ped In Crossing,    Ped Not In Crossing,    Ped Crossing Tracks,    Ped Walking Along Tracks,    Other Vehicle Occupant,    Other,    Trespasser,    Suicide,    Total Other,    Total Fatalities,    Passenger,People waiting or leaving,    Operator,    Employee,    Total Employee,    Other Worker,    Bicyclist,    Ped In Crossing,    Ped Not In Crossing,    Ped Crossing Tracks,    Ped Walking Along Tracks,    Other Vehicle Occupant,    Other,    Trespasser,    Suicide,    Total Other,    Total Injuries
2015,90154,Los Angeles County Metropolitan Transportation Authority dba: Metro,HR,DO,Los Angeles,CA,2,"Los Angeles-Long Beach-Santa Ana, CA",Full Reporter: Operating,31.9,34.1,50364804,254439683,7067079,1444892,320005,70,0,0,0,0,0,0,0,0,0,13,44,57,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,4,51,0,0,0,0,0,0,0,0,0,0,0,,1,1,56
2014,10003,Massachusetts Bay Transportation Authority,HR,DO,Boston,MA,10,"Boston, MA-NH-RI",Full Reporter: Operating,76.3,108.0,178462448,606829993,23133946,3855658,1436546,336,0,1,0,0,0,2,3,0,26,28,225,282,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,3,9,232,0,2,2,0,0,0,0,0,0,0,0,,5,5,248
2014,20008,MTA New York City Transit,HR,DO,New York,NY,1,"New York-Newark, NY-NJ-CT",Full Reporter: Operating,487.5,829.9,2743004452,11152745285,345106130,37928876,18938907,5238,0,70,1,0,0,0,71,1,953,172,3829,5026,4,12,0,0,0,0,0,0,0,3,7,0,6,,31,47,63,75,3933,13,13,26,13,0,0,0,2,0,0,3,,20,25,4072
2014,20075,Port Authority Transit Corporation,HR,DO,Lindenwold,NJ,5,"Philadelphia, PA-NJ-DE-MD",Full Reporter: Operating,31.5,38.4,10007256,88526818,4093853,921340,131756,84,0,0,0,0,0,0,0,0,3,5,33,41,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,34,1,1,2,0,0,0,0,0,0,0,1,,0,1,37
2014,20099,"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",HR,DO,Staten Island,NY,1,"New York-Newark, NY-NJ-CT",Full Reporter: Operating,28.6,31.7,8301793,52033871,2457247,614312,155527,44,0,0,1,0,0,0,1,1,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,3,2,1,3,0,0,0,0,0,0,0,0,,0,0,8
2014,30019,Southeastern Pennsylvania Transportation Authority,HR,DO,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD",Full Reporter: Operating,74.9,99.8,99288812,439437755,17018476,3270421,875171,286,0,3,0,0,0,0,3,0,7,67,82,159,0,2,0,0,0,0,0,0,0,0,0,0,0,,3,3,5,28,90,6,11,17,0,0,0,0,0,0,0,2,,3,5,140
2014,30030,Washington Metropolitan Area Transit Authority,HR,DO,Washington,DC,8,"Washington, DC-VA-MD",Full Reporter: Operating,211.8,269.8,269529019,1519705315,74078897,11686849,3020971,878,0,4,0,0,0,1,5,0,33,32,274,344,0,0,0,0,0,0,0,0,0,0,1,0,0,,3,4,4,27,264,1,6,7,0,0,0,0,0,0,0,0,,6,6,304
2014,30034,Maryland Transit Administration,HR,DO,Baltimore,MD,19,"Baltimore, MD",Full Reporter: Operating,29.4,34.0,14632401,75330815,5072282,1089133,207550,54,0,0,0,0,0,0,0,0,0,5,34,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,36,0,0,0,0,0,0,0,0,0,0,1,,0,1,39
2014,30080,Arlington Transit - Arlington County,HR,PT,Arlington,VA,8,"Washington, DC-VA-MD",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2014,40022,Metropolitan Atlanta Rapid Transit Authority,HR,DO,Atlanta,GA,11,"Atlanta, GA",Full Reporter: Operating,96.1,103.7,68761570,444957333,18086375,3221710,686168,210,0,0,0,0,0,0,0,0,5,34,143,182,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,4,151,0,3,3,0,0,0,0,0,0,0,6,,7,13,171
2014,40034,Miami-Dade Transit,HR,DO,Miami,FL,5,"Miami, FL",Full Reporter: Operating,49.8,58.3,21751409,159954088,7976759,1929709,361509,80,0,0,0,0,0,0,0,0,0,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,11,66,0,0,0,0,0,0,0,0,0,0,1,,0,1,78
2014,40094,Alternativa de Transporte Integrado -ATI,HR,PT,San Juan,PR,500,"San Juan, PR",Full Reporter: Operating,20.6,25.5,10877266,51975086,1910978,591037,103210,32,0,0,0,0,0,0,0,0,2,0,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,3,,0,3,35
2014,50015,The Greater Cleveland Regional Transit Authority,HR,DO,Cleveland,OH,25,"Cleveland, OH",Full Reporter: Operating,38.1,41.9,6203837,41266566,2432606,1275003,130709,20,0,0,0,0,0,0,0,1,0,3,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,4,12,0,1,1,0,0,0,0,0,0,0,0,,0,0,17
2014,50066,Chicago Transit Authority,HR,DO,Chicago,IL,3,"Chicago, IL-IN",Full Reporter: Operating,207.8,287.8,238100054,1446542103,70679582,11765392,3830566,1108,1,7,1,0,0,1,10,5,67,86,369,537,0,1,0,0,0,0,1,0,0,0,0,0,1,,3,5,6,107,316,17,20,37,0,0,0,0,1,1,1,38,,1,42,502
2014,90003,San Francisco Bay Area Rapid Transit District,HR,DO,Oakland,CA,13,"San Francisco-Oakland, CA",Full Reporter: Operating/Building,209.0,267.6,125784207,1655369324,64766101,8745981,1803171,534,0,1,0,1,0,0,2,2,1,31,532,568,1,0,0,0,0,0,0,0,0,0,0,0,0,,7,7,8,60,488,0,0,0,0,0,0,0,0,0,0,1,,6,7,555
2014,90154,Los Angeles County Metropolitan Transportation Authority dba: Metro,HR,DO,Los Angeles,CA,2,"Los Angeles-Long Beach-Santa Ana, CA",Full Reporter: Operating,31.9,34.1,50364804,254439683,7067079,1444892,320005,70,0,0,0,0,0,0,0,0,0,26,60,86,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,2,6,63,1,6,7,0,0,0,0,0,0,0,0,,9,9,85
2013,10003,Massachusetts Bay Transportation Authority,HR,DO,Boston,MA,10,"Boston, MA-NH-RI",Full Reporter: Operating,76.3,108.0,168720814,604916805,23283517,3880586,1439054,336,0,1,0,0,0,2,3,0,45,20,144,212,0,1,0,0,0,0,0,0,0,0,0,1,0,,5,6,7,6,140,0,4,4,0,0,0,0,0,0,0,0,,7,7,157
2013,20008,MTA New York City Transit,HR,DO,New York,NY,1,"New York-Newark, NY-NJ-CT",Full Reporter: Operating,487.5,829.9,2656476693,10865592355,344975317,37908349,19018610,5238,1,78,1,0,0,0,80,1,898,195,5070,6244,6,3,0,1,1,0,0,0,0,0,1,0,19,,35,55,65,30,5070,23,7,30,25,0,0,0,0,1,0,103,,21,125,5280
2013,20075,Port Authority Transit Corporation,HR,DO,Lindenwold,NJ,5,"Philadelphia, PA-NJ-DE-MD",Full Reporter: Operating,31.5,38.4,10542383,93151563,4383073,857240,141064,84,0,0,0,0,0,0,0,0,7,0,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,4,,0,4,31
2013,20099,"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",HR,DO,Staten Island,NY,1,"New York-Newark, NY-NJ-CT",Full Reporter: Operating,28.6,31.7,6985191,41365152,2441952,610488,119931,44,0,1,0,1,0,0,2,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,,1,1,7
2013,30019,Southeastern Pennsylvania Transportation Authority,HR,DO,Philadelphia,PA,5,"Philadelphia, PA-NJ-DE-MD",Full Reporter: Operating,74.9,99.8,101035800,448944738,16882863,3248067,868432,286,0,6,0,0,0,0,6,2,3,47,61,119,0,0,0,0,0,0,0,0,0,2,2,1,0,,2,7,7,45,45,6,8,14,0,0,0,0,0,0,0,3,,4,7,111
2013,30030,Washington Metropolitan Area Transit Authority,HR,DO,Washington,DC,8,"Washington, DC-VA-MD",Full Reporter: Operating,211.8,269.8,273828461,1552619378,75884600,11971325,3094597,878,0,1,1,0,0,0,2,2,18,45,291,358,0,1,0,1,1,0,0,0,0,0,1,0,0,,3,4,6,28,292,0,10,10,0,0,0,1,0,0,0,5,,7,13,343
2013,30034,Maryland Transit Administration,HR,DO,Baltimore,MD,19,"Baltimore, MD",Full Reporter: Operating,29.4,34.0,15208352,76954185,5102781,1090667,208736,54,0,0,0,0,0,0,0,0,0,2,39,41,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,,1,1,41
2013,30080,Arlington Transit - Arlington County,HR,PT,Arlington,VA,8,"Washington, DC-VA-MD",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
2013,40022,Metropolitan Atlanta Rapid Transit Authority,HR,DO,Atlanta,GA,11,"Atlanta, GA",Full Reporter: Operating,96.1,103.7,69629901,444043156,17916149,3127046,683037,182,0,0,0,0,0,0,0,0,6,17,144,167,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,140,0,3,3,0,0,0,0,0,0,0,10,,1,11,159
2013,40034,Miami-Dade Transit,HR,DO,Miami,FL,5,"Miami, FL",Full Reporter: Operating,49.8,58.3,21198687,155169094,7884786,1955280,356046,78,0,0,0,0,0,0,0,0,0,1,102,103,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,10,89,0,0,0,0,0,0,0,0,0,0,3,,0,3,102
2013,40094,Alternativa de Transporte Integrado -ATI,HR,PT,San Juan,PR,500,"San Juan, PR",Full Reporter: Operating,20.6,25.5,11014638,52842782,1909363,594472,103082,32,0,0,0,0,0,0,0,0,1,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,,0,0,15
2013,50015,The Greater Cleveland Regional Transit Authority,HR,DO,Cleveland,OH,25,"Cleveland, OH",Full Reporter: Operating,38.1,41.9,6423366,44109511,2414910,1263024,117779,20,1,0,0,0,0,0,1,2,0,3,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,20,0,0,0,0,0,0,0,0,0,2,0,,0,2,23
2013,50066,Chicago Transit Authority,HR,DO,Chicago,IL,3,"Chicago, IL-IN",Full Reporter: Operating,207.8,287.8,229113934,1441290899,69046006,11569883,3794246,1070,2,5,0,2,0,1,10,5,79,72,466,632,0,5,0,0,0,0,0,0,0,0,1,2,0,,4,7,12,101,353,12,49,61,0,0,1,0,0,0,3,62,,4,70,585
2013,90003,San Francisco Bay Area Rapid Transit District,HR,DO,Oakland,CA,13,"San Francisco-Oakland, CA",Full Reporter: Operating,209.0,267.6,126546495,1649251188,65652045,8945014,1821197,534,0,3,0,1,0,0,4,0,4,15,752,775,0,3,0,2,2,0,0,0,1,0,0,0,1,,4,6,11,88,660,1,1,2,0,0,0,1,0,0,0,20,,0,21,771
2013,90154,Los Angeles County Metropolitan Transportation Authority dba: Metro,HR,DO,Los Angeles,CA,2,"Los Angeles-Long Beach-Santa Ana, CA",Full Reporter: Operating,31.9,34.1,49516465,237760058,6865440,1489986,301906,70,0,0,0,0,0,0,0,0,0,22,68,90,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,3,5,75,0,5,5,0,0,0,0,0,0,0,0,,2,2,87
2012,10003,Massachusetts Bay Transportation Authority,HR,DO,Boston,MA,10,"Boston, MA-NH-RI",Full Reporter: Operating,76.3,108.0,166961143,581700354,23808394,3968066,1460305,336,0,3,0,2,0,1,6,0,76,11,208,301,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,7,208,1,1,2,0,0,0,0,0,0,0,1,,4,5,222
2012,20008,MTA New York City Transit,HR,DO,New York,NY,1,"New York-Newark, NY-NJ-CT",Full Reporter: Operating,487.5,829.9,2569543549,10327239920,341625293,37424132,18798236,5272,0,97,1,0,0,0,98,2,952,250,4525,5827,2,15,0,0,0,0,0,0,0,0,3,0,18,,24,45,62,56,3268,26,7,33,40,0,0,0,0,1,0,1567,,18,1586,4983
